RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-10T13:07:26.953290300Z0.5941188080323417,60630314082800,60660314082800,100,79597000
req2024-05-10T13:07:26.959000800Z0.9151091539425358,60626313656900,60656313656900,60,438848100
req2024-05-10T13:07:26.959000800Z0.5341067282847898,60624314619000,60654314619000,40,240629200
req2024-05-10T13:07:26.959000800Z0.6109984498959605,60625314115900,60655314115900,50,1438484800
req2024-05-10T13:07:26.954288700Z0.4305836303561268,60629314240400,60659314240400,90,150767300
req2024-05-10T13:07:26.959949600Z0.9505866332321035,60623315249800,60653315249800,30,301067500
req2024-05-10T13:07:26.960961900Z0.5313572618390422,60622314979000,60652314979000,20,285525000
req2024-05-10T13:07:26.955396800Z0.44370052504439117,60628314343100,60658314343100,80,84832200
req2024-05-10T13:07:26.956402600Z0.3631926146365785,60627314426900,60657314426900,70,271970900
req2024-05-10T13:07:26.952280300Z0.6893774297754202,60629314117900,60659314117900,90,103824100
req2024-05-10T13:07:26.953290300Z0.16707028862841822,60628314117900,60658314117900,80,84132900
req2024-05-10T13:07:26.961962900Z0.5074758386490698,60622314668500,60652314668500,20,284975400
req2024-05-10T13:07:26.957410700Z0.7887174213934323,60624314679500,60654314679500,40,241163300
req2024-05-10T13:07:26.951166700Z0.221759625161696,60630314195600,60660314195600,100,78187500
req2024-05-10T13:07:26.954288700Z0.7169928565265313,60626314919400,60656314919400,60,436636300
req2024-05-10T13:07:26.956402600Z0.870645396875621,60625314298100,60655314298100,50,1428354800
req2024-05-10T13:07:26.960961900Z0.10927814802203284,60623314817800,60653314817800,30,302650800
req2024-05-10T13:07:26.954288700Z0.19906929889994396,60627313899600,60657313899600,70,274369800
req2024-05-10T13:07:26.947028700Z0.7074333519386122,60630313895100,60660313895100,100,80118900
req2024-05-10T13:07:26.954288700Z0.3431589277532716,60625314560700,60655314560700,50,1426998600
req2024-05-10T13:07:26.953290300Z0.3623901219816694,60626314777600,60656314777600,60,428802300
req2024-05-10T13:07:26.956402600Z0.29543582433625026,60624314154400,60654314154400,40,243188700
req2024-05-10T13:07:26.952280300Z0.18013453899123233,60629314117400,60659314117400,90,150560900
req2024-05-10T13:07:26.953290300Z0.5480286538213597,60627314165300,60657314165300,70,272117300
req2024-05-10T13:07:26.952280300Z0.25369639367239927,60628314741500,60658314741500,80,84714000
req2024-05-10T13:07:26.957410700Z0.2672948948423478,60623314562400,60653314562400,30,302840600
req2024-05-10T13:07:26.959949600Z0.6885888460324603,60622314596100,60652314596100,20,287318800
req2024-05-10T13:07:26.961962900Z0.1784756191721345,60625314943800,60655314943800,50,0
req2024-05-10T13:07:26.961962900Z0.7177531825259099,60624315212200,60654315212200,40,0
req2024-05-10T13:07:26.960961900Z0.02413048447731969,60627314903700,60657314903700,70,0
req2024-05-10T13:07:26.961962900Z0.4008237593751903,60626314570700,60656314570700,60,0
req2024-05-10T13:07:26.962961300Z0.5639611400829773,60622314782100,60652314782100,20,0
req2024-05-10T13:07:26.955396800Z0.2537944470359599,60630314232000,60660314232000,100,0
req2024-05-10T13:07:26.959000800Z0.31713560361589177,60628314969700,60658314969700,80,0
req2024-05-10T13:07:26.961962900Z0.034886306543332024,60623315494400,60653315494400,30,0
req2024-05-10T13:07:26.957410700Z0.6999296474932143,60629314132000,60659314132000,90,0
req2024-05-10T13:07:26.945997Z0.13021978061524853,60630315481600,60660315481600,100,78385000
req2024-05-10T13:07:26.954288700Z0.3401914316487673,60625314681400,60655314681400,50,1437422700
req2024-05-10T13:07:26.952280300Z0.8517050923728713,60628314656900,60658314656900,80,84661100
req2024-05-10T13:07:26.955396800Z0.8937694311309337,60624314758300,60654314758300,40,242089000
req2024-05-10T13:07:26.953290300Z0.953762878895668,60627314013500,60657314013500,70,274177700
req2024-05-10T13:07:26.953290300Z0.32067056767821966,60626314645500,60656314645500,60,429550000
req2024-05-10T13:07:26.959949600Z0.5670915285282543,60622314683500,60652314683500,20,284644300
req2024-05-10T13:07:26.952280300Z0.3472014694738548,60629314115800,60659314115800,90,150687200
req2024-05-10T13:07:26.957410700Z0.5913871514809214,60623314253600,60653314253600,30,303310600
