RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T14:20:16.474777800Z0.7097669704378999,1706691974570,1727524545998,0,920570,50
req2024-05-12T14:20:16.478792400Z0.5345807870972591,1706691864040,1727520435468,0,36050,50
req2024-05-12T14:20:16.474777800Z0.014895720687626346,1706691904710,1727524476138,0,360430,50
req2024-05-12T14:20:16.457289900Z0.3240624392879565,1706691993610,1727541565038,0,1119790,50
req2024-05-12T14:20:16.478792400Z0.8072226598742217,1706691867960,1727520439388,0,165690,50
req2024-05-12T14:20:16.477082900Z0.714316715864922,1706691863830,1727521435258,0,14700,50
req2024-05-12T14:20:16.473775500Z0.7771221176722173,1706691943840,1727525515268,0,677530,50
req2024-05-12T14:20:16.478792400Z0.9581297004397271,1706691923890,1727520495318,0,513310,50
req2024-05-12T14:20:16.471775900Z0.993067475073389,1706691915770,1727527487198,0,509530,50
req2024-05-12T14:20:16.478792400Z0.7209422362320786,1706691885460,1727520456888,0,223020,50
req2024-05-12T14:20:16.475773Z0.547153172450452,1706691891690,1727523463118,0,319550,50
req2024-05-12T14:20:16.477728800Z0.03995418187197952,1706691964910,1727521536338,0,855610,50
req2024-05-12T14:20:16.467256Z0.9675773132641909,1706691902260,1727531473688,0,348250,50
req2024-05-12T14:20:16.475773Z0.6166100153478331,1706692006910,1727523578338,0,1354990,50
req2024-05-12T14:20:16.477728800Z0.4090858645964822,1706691907790,1727521479218,0,396060,50
req2024-05-12T14:20:16.474777800Z0.8352903709868184,1706691957420,1727524528848,0,786380,50
req2024-05-12T14:20:16.475773Z0.5951922577136615,1706691979960,1727523551388,0,965090,50
req2024-05-12T14:20:16.471775900Z0.3929883672388348,1706691968690,1727527540118,0,876680,50
req2024-05-12T14:20:16.477728800Z0.12063594578057779,1706691984440,1727521555868,0,1002890,50
req2024-05-12T14:20:16.477728800Z0.5424384279175511,1706691905760,1727521477188,0,373730,50
req2024-05-12T14:20:16.473775500Z0.8804495310784696,1706691864460,1727525435888,0,54950,50
req2024-05-12T14:20:16.472775900Z0.6201940039975529,1706691953710,1727526525138,0,762230,50
req2024-05-12T14:20:16.473775500Z0.9508068281002181,1706691954270,1727525525698,0,773290,50
req2024-05-12T14:20:16.474777800Z0.9837644437344693,1706691905970,1727524477398,0,378980,50
req2024-05-12T14:20:16.478792400Z0.6887933484365412,1706691915560,1727520486988,0,511070,50
req2024-05-12T14:20:16.477728800Z0.9088388880985971,1706691946430,1727521517858,0,698040,50
req2024-05-12T14:20:16.475773Z0.006992411895647144,1706691993960,1727523565388,0,1132530,50
req2024-05-12T14:20:16.474777800Z0.8657556036642158,1706691934390,1727524505818,0,618660,50
req2024-05-12T14:20:16.474777800Z0.6348901356757601,1706691939290,1727524510718,0,630210,50
req2024-05-12T14:20:16.469779800Z0.8014417774893775,1706691993820,1727529565248,0,1129870,50
req2024-05-12T14:20:16.472775900Z0.787725569045359,1706691981920,1727526553348,0,986860,50
req2024-05-12T14:20:16.478792400Z0.3977107448773761,1706691909960,1727520481388,0,434140,50
req2024-05-12T14:20:16.452252900Z0.6842032169702018,1706691971630,1727546543058,0,910700,50
req2024-05-12T14:20:16.477728800Z0.9611137257673001,1706691949440,1727521520868,0,730870,50
req2024-05-12T14:20:16.477728800Z0.4770206258062941,1706691885110,1727521456538,0,207270,50
req2024-05-12T14:20:16.475773Z0.02510875576557059,1706691885320,1727523456748,0,218400,50
req2024-05-12T14:20:16.477728800Z0.3587506189919162,1706691864600,1727521436028,0,64260,50
req2024-05-12T14:20:16.477728800Z0.7563050423297267,1706691966870,1727521538298,0,869330,50
req2024-05-12T14:20:16.477728800Z0.47548900699603724,1706691969320,1727521540748,0,890190,50
req2024-05-12T14:20:16.477728800Z0.6495643706953015,1706691865300,1727521436728,0,98630,50
req2024-05-12T14:20:16.472775900Z0.30371673410085354,1706691887700,1727526459128,0,246190,50
req2024-05-12T14:20:16.473775500Z0.3300823104703232,1706691910100,1727525481528,0,435190,50
req2024-05-12T14:20:16.470777800Z0.13927253395496142,1706691969110,1727528540538,0,881860,50
req2024-05-12T14:20:16.471775900Z0.3158049263758317,1706691891480,1727527462908,0,314510,50
req2024-05-12T14:20:16.471775900Z0.7760661172512864,1706691927040,1727527498468,0,544250,50
req2024-05-12T14:20:16.475773Z0.7106271418244594,1706691941250,1727523512678,0,643370,50
