RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-11T01:49:29.882741600Z0.5722457224585388,62923602633300,62953602633300,20,3557953700
req2024-05-11T01:49:29.907166Z0.9359722326426434,62923627060000,62953627060000,20,733219000
req2024-05-11T01:49:29.906165300Z0.05890536103019417,62923626530300,62953626530300,20,1966538700
req2024-05-11T01:49:29.908177100Z0.2578050214359304,62923628231500,62953628231500,20,8055023000
req2024-05-11T01:49:29.907166Z0.056450251606145474,62923627283400,62953627283400,20,812071300
req2024-05-11T01:49:29.909174500Z0.07782650724369544,62923629279700,62953629279700,20,15980148800
req2024-05-11T01:49:29.910336600Z0.6009325162129397,62923630253900,62953630253900,20,16352290400
req2024-05-11T01:49:29.876745600Z0.14385228581457954,62923596929400,62953596929400,20,1616605800
req2024-05-11T01:49:29.908177100Z0.13780900028212506,62923628135700,62953628135700,20,8055390200
req2024-05-11T01:49:29.907166Z0.880615123055712,62923627388900,62953627388900,20,15428403100
req2024-05-11T01:49:29.908177100Z0.023559969646730572,62923628312800,62953628312800,20,14564635200
req2024-05-11T01:49:29.909174500Z0.2189438439614858,62923629858600,62953629858600,20,16085336900
req2024-05-11T01:49:29.907166Z0.8613466586376912,62923626841400,62953626841400,20,8109839900
req2024-05-11T01:49:29.907166Z0.8480530198647109,62923627550000,62953627550000,20,6733395200
req2024-05-11T01:49:29.908177100Z0.36436393318469096,62923628252500,62953628252500,20,15864210300
req2024-05-11T01:49:29.892045500Z0.5120875263741231,62923612553200,62953612553200,20,11184115400
req2024-05-11T01:49:29.910336600Z0.1250867148376983,62923630118500,62953630118500,20,12588501600
req2024-05-11T01:49:29.910336600Z0.3754301668983899,62923630515700,62953630515700,20,16218585000
req2024-05-11T01:49:29.908177100Z0.3569963107133769,62923628069900,62953628069900,20,15898259400
req2024-05-11T01:49:29.879746700Z0.6457084335832496,62923599969400,62953599969400,20,529152900
req2024-05-11T01:49:29.907166Z0.6339170346264779,62923627331200,62953627331200,20,15462170600
req2024-05-11T01:49:29.910336600Z0.6855031308954423,62923630031000,62953630031000,20,16072686800
req2024-05-11T01:49:29.907166Z0.36122473123723553,62923627421000,62953627421000,20,7203074400
req2024-05-11T01:49:29.909174500Z0.4070497107161468,62923629701700,62953629701700,20,16090435300
req2024-05-11T01:49:29.907166Z0.24535485821997893,62923626908800,62953626908800,20,6809049500
req2024-05-11T01:49:29.909174500Z0.1527484650171146,62923629841800,62953629841800,20,9892136500
req2024-05-11T01:49:29.908177100Z0.4299425961489872,62923628700400,62953628700400,20,15367909600
req2024-05-11T01:49:29.907166Z0.8258677237727874,62923627778200,62953627778200,20,6857035400
req2024-05-11T01:49:29.908177100Z0.5541189221510703,62923627993100,62953627993100,20,5072372400
req2024-05-11T01:49:29.893757300Z0.6181592924549068,62923614174900,62953614174900,20,2870906000
req2024-05-11T01:49:29.910336600Z0.003077818487515094,62923630193400,62953630193400,20,12579333200
req2024-05-11T01:49:29.910336600Z0.30395698110203473,62923630136100,62953630136100,20,16355854200
req2024-05-11T01:49:29.909174500Z0.5966097373179098,62923629681500,62953629681500,20,8188269000
req2024-05-11T01:49:29.910336600Z0.007343277089037925,62923629996500,62953629996500,20,16066523200
req2024-05-11T01:49:29.897646200Z0.43772838851852014,62923617707600,62953617707600,20,2261710500
req2024-05-11T01:49:29.908177100Z0.4443570232691759,62923628209500,62953628209500,20,14448974200
req2024-05-11T01:49:29.904154800Z0.3544611670162341,62923624085000,62953624085000,20,7882662100
req2024-05-11T01:49:29.908177100Z0.3525910890069971,62923628465700,62953628465700,20,7887963900
req2024-05-11T01:49:29.909174500Z0.17994365272276847,62923629657200,62953629657200,20,16092702500
req2024-05-11T01:49:29.907166Z0.36318679361455675,62923627801800,62953627801800,20,15311109700
req2024-05-11T01:49:29.910336600Z0.9556205056846506,62923630418500,62953630418500,20,11429042100
req2024-05-11T01:49:29.907166Z0.5055771695084341,62923627004900,62953627004900,20,841533300
req2024-05-11T01:49:29.881742500Z0.2946292754378702,62923601657200,62953601657200,20,11542046100
req2024-05-11T01:49:29.910336600Z0.7970465254912358,62923630306700,62953630306700,20,12415259300
req2024-05-11T01:49:29.906165300Z0.07336656325528434,62923625977500,62953625977500,20,7819282500
req2024-05-11T01:49:29.908177100Z0.29955681171970283,62923628517500,62953628517500,20,7873692700
req2024-05-11T01:49:29.909174500Z0.860392206816849,62923629942100,62953629942100,20,8905501500
req2024-05-11T01:49:29.910336600Z0.37138437480399067,62923630172000,62953630172000,20,16371687900
req2024-05-11T01:49:29.910336600Z0.06211283674267454,62923630435300,62953630435300,20,16151988200
req2024-05-11T01:49:29.906165300Z0.9334473807400634,62923626503900,62953626503900,20,8419952600
req2024-05-11T01:49:29.909174500Z0.7014970653069093,62923629450000,62953629450000,20,15850796200
req2024-05-11T01:49:29.909174500Z0.8555801153334596,62923629773900,62953629773900,20,10581323800
req2024-05-11T01:49:29.909174500Z0.87180397835148,62923629386500,62953629386500,20,8123261300
req2024-05-11T01:49:29.909174500Z0.026295523929376396,62923629637200,62953629637200,20,11106395700
req2024-05-11T01:49:29.906165300Z0.3658885703574166,62923626694600,62953626694600,20,2870648800
req2024-05-11T01:49:29.907166Z0.699406645355784,62923627617300,62953627617300,20,15407269400
req2024-05-11T01:49:29.910336600Z0.843516187973901,62923630384000,62953630384000,20,12051246800
req2024-05-11T01:49:29.907166Z0.8040878792915488,62923627171200,62953627171200,20,835580300
req2024-05-11T01:49:29.906165300Z0.5248715165492307,62923626447900,62953626447900,20,8399916900
req2024-05-11T01:49:29.909174500Z0.955559173899956,62923629258800,62953629258800,20,8354678500
req2024-05-11T01:49:29.910336600Z0.3257055534361163,62923630553000,62953630553000,20,16211046300
req2024-05-11T01:49:29.906165300Z0.3496304550797765,62923626813800,62953626813800,20,2487959900
req2024-05-11T01:49:29.899646900Z0.5811725731919338,62923620077600,62953620077600,20,10392662300
req2024-05-11T01:49:29.909174500Z0.4166488379106119,62923629428300,62953629428300,20,8103163600
req2024-05-11T01:49:29.909174500Z0.7458828065302701,62923629066200,62953629066200,20,8479830300
req2024-05-11T01:49:29.910336600Z0.45719579028428414,62923630825400,62953630825400,20,12647532100
req2024-05-11T01:49:29.909174500Z0.023452448567247597,62923629514500,62953629514500,20,8097989800
req2024-05-11T01:49:29.908177100Z0.3584630257685234,62923628604500,62953628604500,20,15132271900
req2024-05-11T01:49:29.910336600Z0.7970047738811447,62923630744700,62953630744700,20,12919543000
req2024-05-11T01:49:29.908177100Z0.7052213059984029,62923627969300,62953627969300,20,8189157200
req2024-05-11T01:49:29.907166Z0.38520004058933943,62923626879500,62953626879500,20,1808775100
req2024-05-11T01:49:29.908177100Z0.018267007125443713,62923628181300,62953628181300,20,8054950800
req2024-05-11T01:49:29.902646400Z0.25133022146763073,62923622487600,62953622487600,20,7904867000
req2024-05-11T01:49:29.907166Z0.23578776066303297,62923627479800,62953627479800,20,1162285500
req2024-05-11T01:49:29.909174500Z0.9906309278934742,62923628875000,62953628875000,20,9027432300
req2024-05-11T01:49:29.909174500Z0.4268498495980896,62923629408600,62953629408600,20,15804913600
req2024-05-11T01:49:29.907166Z0.867514472172402,62923627115800,62953627115800,20,1580968100
req2024-05-11T01:49:29.907166Z0.6345227985893479,62923627031700,62953627031700,20,5759775300
req2024-05-11T01:49:29.909174500Z0.928631193057087,62923629824800,62953629824800,20,15989485200
req2024-05-11T01:49:29.910336600Z0.6250435818355895,62923630340600,62953630340600,20,12096309300
req2024-05-11T01:49:29.907166Z0.7168950052911789,62923627196300,62953627196300,20,2700109900
req2024-05-11T01:49:29.908177100Z0.14755536281451087,62923627831300,62953627831300,20,6128611100
req2024-05-11T01:49:29.906165300Z0.19428415393694765,62923626381800,62953626381800,20,3020867000
req2024-05-11T01:49:29.908177100Z0.22127424215296077,62923628093100,62953628093100,20,8061430400
req2024-05-11T01:49:29.908177100Z0.2780309451923033,62923628442400,62953628442400,20,15818288100
req2024-05-11T01:49:29.909174500Z0.23061299822682357,62923628953400,62953628953400,20,9000459900
req2024-05-11T01:49:29.910336600Z0.687240499705608,62923630764300,62953630764300,20,16415551700
req2024-05-11T01:49:29.909174500Z0.2344952461337192,62923629962100,62953629962100,20,16073662200
req2024-05-11T01:49:29.909174500Z0.8911191381227128,62923629216700,62953629216700,20,8392564400
req2024-05-11T01:49:29.909174500Z0.26318181028365106,62923629193200,62953629193200,20,15988053600
req2024-05-11T01:49:29.909174500Z0.538663984931539,62923629610900,62953629610900,20,16137357600
req2024-05-11T01:49:29.910336600Z0.4595056845784946,62923630065400,62953630065400,20,16380489000
req2024-05-11T01:49:29.909174500Z0.4365102236388997,62923629321300,62953629321300,20,15962842700
req2024-05-11T01:49:29.901646100Z0.5545072621860244,62923622238100,62953622238100,20,2863466000
req2024-05-11T01:49:29.910336600Z0.9173551964357375,62923630463300,62953630463300,20,11656241200
req2024-05-11T01:49:29.909174500Z0.3234258401708938,62923629022400,62953629022400,20,8483387300
req2024-05-11T01:49:29.909174500Z0.5945214991939738,62923629238400,62953629238400,20,15973233800
req2024-05-11T01:49:29.906165300Z0.5772422492768451,62923626730200,62953626730200,20,2739870800
req2024-05-11T01:49:29.909174500Z0.32863945737865397,62923629172800,62953629172800,20,8418051400
req2024-05-11T01:49:29.886044400Z0.9355179101730056,62923606103200,62953606103200,20,11508598500
req2024-05-11T01:49:29.889046600Z0.2933976457807954,62923609014100,62953609014100,20,11466969400
req2024-05-11T01:49:29.909174500Z0.9214676485038233,62923629494000,62953629494000,20,15909989900
req2024-05-11T01:49:29.906165300Z0.8588499124712978,62923626417200,62953626417200,20,2012141800
req2024-05-11T01:49:29.907166Z0.23435991316393212,62923627738500,62953627738500,20,7705480400
req2024-05-11T01:49:29.909174500Z0.9809116367345587,62923629128900,62953629128900,20,8775947700
req2024-05-11T01:49:29.906165300Z0.5804776078198213,62923626623100,62953626623100,20,7611106700
req2024-05-11T01:49:29.907166Z0.7597726647460239,62923626936200,62953626936200,20,858262000
req2024-05-11T01:49:29.907166Z0.9313905526912364,62923627145900,62953627145900,20,4267246500
req2024-05-11T01:49:29.910336600Z0.2067400245960076,62923630153500,62953630153500,20,12556009000
req2024-05-11T01:49:29.908177100Z0.8259614817601787,62923628758700,62953628758700,20,15641613200
req2024-05-11T01:49:29.909174500Z0.2905320209346858,62923628828000,62953628828000,20,7483008300
req2024-05-11T01:49:29.909174500Z0.6039162950349379,62923629908800,62953629908800,20,9610823200
req2024-05-11T01:49:29.908177100Z0.11010960494770561,62923628047600,62953628047600,20,3929762000
req2024-05-11T01:49:29.909174500Z0.17437974607194362,62923629150100,62953629150100,20,16048820400
req2024-05-11T01:49:29.909174500Z0.44106305480521635,62923628918300,62953628918300,20,15624244000
req2024-05-11T01:49:29.908177100Z0.6966764455332123,62923628024200,62953628024200,20,14644471600
req2024-05-11T01:49:29.908177100Z0.8567454556820816,62923628626100,62953628626100,20,6563542200
